Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
310                  3                    100                  0.8600000000         Equal GLC            90.7856386708        Equal GLC            38.4850640564       
310                  4                    100                  0.8300000000         Unidimensional X     99.0127723348        Equal GLC            43.1357874240       
310                  5                    100                  0.7500000000         Equal GLC            120.3015875377       Equal GLC            53.2430384899       
310                  6                    100                  0.6600000000         Unidimensional Y     129.4278226500       Unidimensional Y     60.1087411390       
311                  1                    100                  0.6500000000         Equal GLC            136.5774440596       Equal GLC            61.3809667508       
311                  2                    100                  0.6600000000         Unidimensional Y     126.3606767773       Equal GLC            58.3975495165       
311                  3                    100                  0.8200000000         Unidimensional X     97.7049947976        Equal GLC            42.2143632176       
311                  4                    100                  0.8300000000         Equal GLC            76.6333491127        Equal GLC            31.4089192774       
311                  5                    100                  0.6800000000         Unidimensional Y     134.3964209699       Equal GLC            60.3447498679       
311                  6                    100                  0.6900000000         Equal GLC            125.4823629617       Equal GLC            55.8334262019       
313                  1                    100                  0.5400000000         Unidimensional X     134.1530962180       Equal GLC            62.2546666036       
313                  2                    100                  0.9000000000         Equal GLC            74.6143440750        Equal GLC            30.3994167585       
313                  3                    100                  0.8700000000         Equal GLC            69.0500766489        Equal GLC            27.6172830455       
313                  4                    100                  0.9400000000         Unidimensional X     38.0016637460        Equal GLC            13.7513341187       
313                  5                    100                  0.6500000000         Equal GLC            133.7209306372       Equal GLC            59.9527100396       
313                  6                    100                  0.7000000000         Equal GLC            101.1201512663       Equal GLC            43.6523203542       
405                  1                    100                  0.7700000000         Equal GLC            96.8651265985        Equal GLC            41.5248080203       
405                  2                    100                  0.9300000000         Unidimensional Y     50.6226315441        Equal GLC            18.7212342189       
405                  3                    100                  0.8800000000         Equal GLC            64.8621967159        Equal GLC            25.5233430790       
405                  4                    100                  0.9300000000         Unidimensional X     40.4729839437        Equal GLC            15.4747976249       
405                  5                    100                  0.7700000000         Equal GLC            97.5414054193        Equal GLC            41.8629474307       
405                  6                    100                  0.8300000000         Equal GLC            67.1980185532        Equal GLC            26.6912539976       
406                  1                    100                  0.6600000000         Equal GLC            130.2417538988       Equal GLC            58.2131216704       
406                  2                    100                  0.8800000000         Unidimensional Y     71.3928534830        Equal GLC            30.8015355950       
406                  3                    100                  0.8800000000         Unidimensional X     65.9457713035        Unidimensional X     28.3677154658       
406                  4                    100                  0.9300000000         Unidimensional X     40.3981830596        Unidimensional X     15.5939213438       
406                  5                    100                  0.6800000000         Unidimensional Y     129.3868351715       Equal GLC            58.2624031909       
406                  6                    100                  0.6700000000         Biased Guessing      126.7780305970       Equal GLC            57.8594382630       
407                  1                    100                  0.3600000000         Biased Guessing      129.9790617005       Equal GLC            60.1012092797       
407                  2                    100                  0.8200000000         Unidimensional Y     88.0826559036        Equal GLC            39.3438069336       
407                  3                    100                  0.8400000000         Equal GLC            98.0126307812        Equal GLC            42.0985601116       
407                  4                    100                  0.9000000000         Equal GLC            81.1359712196        Equal GLC            33.6602303308       
407                  5                    100                  0.7600000000         Equal GLC            109.4535671991       Equal GLC            47.8190283206       
407                  6                    100                  0.7800000000         Unidimensional X     92.3391853382        Equal GLC            40.0920072366       
408                  1                    100                  0.4900000000         Unidimensional X     103.4670357903       Unidimensional X     47.1283477092       
408                  2                    100                  0.6000000000         Guessing             138.6294361120       Equal GLC            63.6578673986       
408                  3                    100                  0.5500000000         Biased Guessing      107.3965043094       Biased Guessing      51.3956670617       
408                  4                    100                  0.6100000000         Unidimensional Y     111.5858060301       Equal GLC            50.8542067583       
408                  5                    100                  0.7300000000         Equal GLC            106.0525482233       Equal GLC            46.1185188327       
408                  6                    100                  0.7400000000         Unidimensional X     97.8165099559        Equal GLC            43.7409209204       
410                  1                    100                  0.8100000000         Unidimensional Y     94.9624406597        Equal GLC            41.9882091899       
410                  2                    100                  0.8900000000         Unidimensional Y     49.3682563363        Equal GLC            18.7404557651       
410                  3                    100                  0.8600000000         Equal GLC            90.7856386708        Equal GLC            38.4850640564       
410                  4                    100                  0.8300000000         Unidimensional X     99.0127723348        Equal GLC            43.1357874240       
410                  5                    100                  0.7500000000         Equal GLC            120.3015875377       Equal GLC            53.2430384899       
410                  6                    100                  0.6600000000         Unidimensional Y     129.4278226500       Unidimensional Y     60.1087411390       
411                  1                    100                  0.6500000000         Equal GLC            136.5774440596       Equal GLC            61.3809667508       
411                  2                    100                  0.6600000000         Unidimensional Y     126.3606767773       Equal GLC            58.3975495165       
411                  3                    100                  0.8200000000         Unidimensional X     97.7049947976        Equal GLC            42.2143632176       
411                  4                    100                  0.8300000000         Equal GLC            76.6333491127        Equal GLC            31.4089192774       
411                  5                    100                  0.6800000000         Unidimensional Y     134.3964209699       Equal GLC            60.3447498679       
411                  6                    100                  0.6900000000         Equal GLC            125.4823629617       Equal GLC            55.8334262019       
413                  1                    100                  0.5400000000         Unidimensional X     134.1530962180       Equal GLC            62.2546666036       
413                  2                    100                  0.9000000000         Equal GLC            74.6143440750        Equal GLC            30.3994167585       
413                  3                    100                  0.8700000000         Equal GLC            69.0500766489        Equal GLC            27.6172830455       
413                  4                    100                  0.9400000000         Unidimensional X     38.0016637460        Equal GLC            13.7513341187       
413                  5                    100                  0.6500000000         Equal GLC            133.7209306372       Equal GLC            59.9527100396       
413                  6                    100                  0.7000000000         Equal GLC            101.1201512663       Equal GLC            43.6523203542       
424                  1                    100                  0.9200000000         Unidimensional X     86.3451536221        Equal GLC            38.1381319302       
424                  2                    100                  0.9600000000         Unidimensional X     35.9060040111        Unidimensional X     13.3478318196       
424                  3                    100                  0.7800000000         Equal GLC            95.8434060648        Equal GLC            41.0139477534       
424                  4                    100                  0.8400000000         Equal GLC            89.1042597048        Equal GLC            37.6443745734       
424                  5                    100                  0.8100000000         Equal GLC            101.5025405809       Equal GLC            43.8435150115       
424                  6                    100                  0.7800000000         Equal GLC            91.2140672946        Equal GLC            38.6992783683       
425                  1                    100                  0.9600000000         Unidimensional X     44.4533168417        Equal GLC            16.5474040974       
425                  2                    100                  0.9800000000         Unidimensional X     29.2880742847        Equal GLC            9.9770452898        
425                  3                    100                  0.9400000000         Unidimensional Y     38.5802693851        Equal GLC            14.2256852489       
425                  4                    100                  0.9400000000         Unidimensional Y     32.4496163471        Equal GLC            11.2212994514       
425                  5                    100                  0.7600000000         Equal GLC            102.7523156790       Equal GLC            44.4684025605       
425                  6                    100                  0.7500000000         Equal GLC            98.7404724866        Equal GLC            42.4624809643       
426                  1                    100                  0.5400000000         Biased Guessing      95.7824127915        Biased Guessing      45.5886213027       
426                  2                    100                  0.8300000000         Unidimensional Y     79.1918497436        Equal GLC            34.9889326052       
426                  3                    100                  0.7200000000         Equal GLC            106.5394056847       Equal GLC            46.3619475634       
426                  4                    100                  0.9300000000         Unidimensional X     44.5147318329        Unidimensional X     17.6521957305       
426                  5                    100                  0.7000000000         Unidimensional Y     116.4252863554       Equal GLC            52.2064405137       
426                  6                    100                  0.7200000000         Unidimensional Y     100.2735952321       Equal GLC            44.8291479696       
427                  1                    100                  0.9100000000         Equal GLC            68.3067152145        Equal GLC            27.2456023282       
427                  2                    100                  0.9200000000         Unidimensional Y     44.5364451919        Equal GLC            17.4280017682       
427                  3                    100                  0.6300000000         Equal GLC            104.2162310205       Equal GLC            45.2003602313       
427                  4                    100                  0.8300000000         Equal GLC            96.5644114431        Equal GLC            41.3744504426       
427                  5                    100                  0.6900000000         Unidimensional Y     113.1626464725       Equal GLC            51.9760141093       
427                  6                    100                  0.6700000000         Unidimensional Y     125.0547089676       Equal GLC            56.8199877868       
428                  1                    100                  0.8800000000         Equal GLC            85.7283179477        Equal GLC            35.9564036949       
428                  2                    100                  0.8500000000         Equal GLC            62.6926619058        Equal GLC            24.4385756739       
428                  3                    100                  0.9100000000         Unidimensional X     67.1618802461        Equal GLC            28.4935086647       
428                  4                    100                  0.9100000000         Unidimensional X     47.0842616605        Unidimensional X     18.9369606443       
428                  5                    100                  0.5900000000         Unidimensional Y     122.9709401945       Equal GLC            56.8634217272       
428                  6                    100                  0.6500000000         Unidimensional Y     100.8934071673       Equal GLC            45.5799047643       
429                  1                    100                  0.6000000000         Biased Guessing      15.8054770570        Biased Guessing      5.6001534355        
429                  2                    100                  0.5900000000         Biased Guessing      31.5536038219        Equal GLC            13.1052657864       
429                  3                    100                  0.6100000000         Unidimensional X     101.0236406919       Unidimensional X     45.9066501600       
429                  4                    100                  0.9000000000         Unidimensional X     56.8723925982        Unidimensional X     23.8310261131       
429                  5                    100                  0.6400000000         Unidimensional Y     136.1684270944       Unidimensional Y     63.4790433612       
429                  6                    100                  0.5600000000         Guessing             138.6294361120       Guessing             69.3147180560       
434                  1                    100                  0.8300000000         Unidimensional Y     85.0482829423        Equal GLC            36.6377831805       
434                  2                    100                  0.8800000000         Equal GLC            69.9407047357        Equal GLC            28.0625970889       
434                  3                    100                  0.9300000000         Equal GLC            74.5356606236        Equal GLC            30.3600750328       
434                  4                    100                  0.8800000000         Unidimensional X     63.1448894111        Equal GLC            26.9632278549       
434                  5                    100                  0.7000000000         Equal GLC            131.7055193795       Equal GLC            58.9450044108       
434                  6                    100                  0.6400000000         Guessing             138.6294361120       Equal GLC            63.5825001583       
435                  1                    100                  0.8300000000         Equal GLC            87.8271592413        Equal GLC            37.0058243417       
