Subject Number       Block Number         Trials per Block     Accuracy             Best Model by BIC    BIC Score            Best Model by NLL    NLL Score           
104                  3                    100                  0.9100000000         Unidimensional X     52.3096658382        Unidimensional X     21.5496627331       
104                  4                    100                  0.9300000000         Equal GLC            58.0618244223        Equal GLC            22.1231569321       
104                  5                    100                  0.8900000000         Equal GLC            64.1775383404        Equal GLC            25.1810138912       
104                  6                    100                  0.9400000000         Unidimensional Y     39.2660585288        Equal GLC            14.8985927220       
104                  7                    100                  0.7400000000         Equal GLC            113.0817622863       Equal GLC            49.6331258642       
104                  8                    100                  0.7900000000         Equal GLC            92.5059134809        Equal GLC            39.3452014615       
106                  1                    100                  0.9500000000         Equal GLC            48.6511398633        Equal GLC            17.4178146527       
106                  2                    100                  0.8900000000         Unidimensional X     77.1864866433        Equal GLC            31.9980546400       
106                  3                    100                  0.9500000000         Equal GLC            44.7012023634        Equal GLC            15.4428459027       
106                  4                    100                  0.7100000000         Unidimensional X     95.7202223154        Equal GLC            43.1984659889       
106                  5                    100                  0.8400000000         Equal GLC            96.3406160471        Equal GLC            41.2625527446       
106                  6                    100                  0.7500000000         Equal GLC            111.7845890615       Equal GLC            48.9845392518       
106                  7                    100                  0.5700000000         Equal GLC            117.4628033068       Equal GLC            51.8236463744       
106                  8                    100                  0.6000000000         Unidimensional Y     135.2407007059       Equal GLC            62.9845308055       
108                  1                    100                  0.9600000000         Unidimensional X     34.1743548448        Equal GLC            12.1122923273       
108                  2                    100                  0.9900000000         Equal GLC            14.0856725509        Equal GLC            0.1350809965        
108                  3                    100                  0.9700000000         Unidimensional X     21.4492654139        Equal GLC            5.0967593539        
108                  4                    100                  0.8300000000         Unidimensional Y     89.8332423957        Equal GLC            40.0360859130       
108                  5                    100                  0.9300000000         Unidimensional Y     40.8811601733        Equal GLC            14.9660017603       
108                  6                    100                  0.9100000000         Equal GLC            65.5177418119        Equal GLC            25.8511156270       
108                  7                    100                  0.7200000000         Unidimensional Y     112.5472217417       Equal GLC            50.6050636355       
108                  8                    100                  0.7200000000         Unidimensional Y     101.4700597391       Equal GLC            44.9283208684       
